"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","00703Bmash","00703C2mash","00703Dmash","0288E","101","1400E","1500E","284V","315-A","3549624","409-05","41V","5-1","55152","6119V5","6420B","75712","AMD","ATCC_14019","CMW7778B","DNF01149","DNF01162","FDAARGOS_568","GED7275B","GED7760B","GH015","GS_10234","GS_9838-1","GV37","HMP9231","JCP7275","JCP7276","JCP7659","JCP7672","JCP7719","JCP8017A","JCP8066","JCP8070","JCP8108","JCP8151A","JCP8151B","JCP8481A","JCP8522","KA00225","KA00735","N101","N144","N160","N165","N72","N95","NR010","NR038","NR039","PSS_7772B","UGent_06.41","UGent_09.07","UGent_09.48","UGent_18.01","UGent_21.28","UGent_25.49","UMB0032B","UMB0061","UMB0143","UMB0202","UMB0233","UMB0264","UMB0386","UMB0558","UMB0662","UMB0682","UMB0736","UMB0742","UMB0768","UMB0769","UMB0770","UMB0775","UMB0830","UMB0833","UMB0913","UMB1489","UMB1642","UMB1686","UMB1698","W11"
"group_1792","rpsB","30S ribosomal protein S2","23","23","1","1","3314","26","1","","800","968","854","00703Bmash_00469","00703C2mash_00887","","","","","","","","","","","","","","","","","","CMW7778B_00214","","","","GED7275B_01100","","","","","","","","","JCP7659_00830","","JCP7719_00626","JCP8017A_00678","JCP8066_01025","JCP8070_00895","","JCP8151A_00152","JCP8151B_00621","","JCP8522_00304","","KA00735_00489","N101_01040","N144_00613","","","","N95_00427","","NR038_00643","","","","","","UGent_18.01_00721","UGent_21.28_00712","","","","","","","","","UMB0558_00735","","","","","","","","","UMB0830_00738","UMB0833_00099","","","","","","W11_00897"
"group_1816","","hypothetical protein","23","23","1","1","3881","1","2624","","104","953","858","","","","0288E_00108","","","","","315-A_00016","","","","","","","","75712_00278","","","CMW7778B_00721","DNF01149_00901","DNF01162_00191","FDAARGOS_568_00148","","","","","","","HMP9231_00156","","","","","","","","","","","","","","","","","","","","N72_01244","","","NR038_01258","","","","UGent_09.07_01061","","","","UGent_25.49_00202","UMB0032B_01107","","UMB0143_01002","UMB0202_00265","","UMB0264_00173","","","","","UMB0736_01089","","","UMB0769_00743","UMB0770_00188","UMB0775_00199","","UMB0833_00623","","","UMB1642_00898","","UMB1698_00829",""
"group_1945","","hypothetical protein","23","23","1","1","3206","1","2953","","149","284","266","","","","","101_00424","1400E_00295","","","","","","","","","","","","AMD_00699","","","DNF01149_00683","","","","","","","","GV37_00573","HMP9231_00769","","JCP7276_00526","","","","","","","","JCP8151A_01154","","","","","","N101_00470","","","","","N95_00994","","","","","","UGent_09.07_00486","UGent_09.48_00486","","","UGent_25.49_00751","UMB0032B_00487","","","UMB0202_00942","UMB0233_00969","","","","UMB0662_00010","","","UMB0742_00676","UMB0768_00420","","UMB0770_01191","UMB0775_00877","","","","UMB1489_00492","","","","W11_01156"
"group_2336","","hypothetical protein","23","23","1","1","531","1","462","","1721","6023","5791","","","","0288E_00475","","","","","315-A_00860","3549624_00704","","","","","","","75712_01152","","","","DNF01149_00129","","FDAARGOS_568_00608","","","GH015_00568","","","","HMP9231_01046","","JCP7276_00241","","JCP7672_00250","","","","","","","","","","","KA00735_00239","","","","","","","","NR038_00384","","","","UGent_09.07_00814","","","","UGent_25.49_01047","UMB0032B_00174","UMB0061_00174","UMB0143_00176","UMB0202_00639","UMB0233_00664","","UMB0386_00175","","","","UMB0736_00175","","UMB0768_00113","","UMB0770_00604","","","","","","","","",""
"ecfA3","","Vitamin B12 import ATP-binding protein BtuD","23","23","1","1","3763","1","2310","","515","845","816","","","","0288E_00929","","","","284V_00862","","3549624_00111","409-05_01023","","","","","","","","ATCC_14019_00900","","","DNF01162_00471","FDAARGOS_568_01084","","","","GS_10234_00191","","GV37_01113","HMP9231_00645","JCP7275_00560","JCP7276_00280","","","","","","","","","","","","","","","","","","","","","NR038_00756","","","","UGent_09.07_00355","","","","UGent_25.49_00619","UMB0032B_00611","","UMB0143_00580","UMB0202_01067","","","","","","","UMB0736_00659","","UMB0768_00552","UMB0769_00970","","","","","","","UMB1642_00507","","UMB1698_00194",""
"yccF","","Inner membrane protein YccF","23","23","1","1","3543","55","1","","389","452","391","","","","","","","","","","","409-05_00895","","5-1_01018","","","6420B_00147","","AMD_00467","","","","DNF01162_00543","","","","","GS_10234_00269","GS_9838-1_00617","GV37_01035","","","","","","","","","","","","","JCP8481A_00670","","","","","","","","N72_00476","","NR010_00346","","","PSS_7772B_00719","UGent_06.41_00677","","UGent_09.48_00827","","","","","","","","","UMB0264_00887","","","UMB0662_00359","UMB0682_00296","","UMB0742_00322","","UMB0769_00896","","","","","UMB0913_00857","UMB1489_00840","UMB1642_00434","","UMB1698_00272",""
"mutY","","Adenine DNA glycosylase","23","23","1","1","619","1","1064","","995","1088","1004","","","","","","","","","","","409-05_01141","","5-1_01205","","","6420B_01013","","AMD_00119","","","","DNF01162_00783","","","","","GS_10234_00072","GS_9838-1_01158","GV37_01284","","","","","","","","","","","","","JCP8481A_00894","","","","","","","","N72_00235","","NR010_00521","","","PSS_7772B_00289","UGent_06.41_00859","","UGent_09.48_01009","","","","","","","","","UMB0264_01072","","","UMB0662_00544","UMB0682_00069","","UMB0742_00142","","UMB0769_01092","","","","","UMB0913_01038","UMB1489_01021","UMB1642_00631","","UMB1698_00073",""
"yxeI","","putative protein YxeI","23","23","1","1","710","1","2506","","878","1022","1015","","","","0288E_00332","","","","284V_01240","","3549624_00862","","41V_00824","","55152_00391","","","75712_00410","","ATCC_14019_01209","","DNF01149_01021","","FDAARGOS_568_00026","","","GH015_00647","","","","HMP9231_00288","JCP7275_00658","","","JCP7672_00007","","","","","","","","","","","","","","","N165_00772","","","","","NR039_00502","","","UGent_09.07_01293","","","","","UMB0032B_00985","","UMB0143_01126","","UMB0233_00175","","UMB0386_00903","","","","UMB0736_00960","","UMB0768_00842","","UMB0770_00312","","","","","","","","",""
"group_2883","rihA_2","Pyrimidine-specific ribonucleoside hydrolase RihA","23","23","1","1","2089","1","2809","","197","932","900","","","","0288E_00817","","","","284V_00729","315-A_00328","3549624_00232","","","","","","","75712_00615","","","","DNF01149_00436","","FDAARGOS_568_01197","","","","","","","HMP9231_00529","JCP7275_00171","JCP7276_01225","","","","","","","JCP8108_00756","","","","","","","","","","N165_00128","","","","","NR039_00604","","","UGent_09.07_00237","","","","UGent_25.49_00508","UMB0032B_00738","UMB0061_01180","","UMB0202_01184","UMB0233_01207","","UMB0386_00713","","","","UMB0736_00774","","","","UMB0770_00948","UMB0775_01255","","","","","","","",""
"group_2932","htpX","Protease HtpX ","23","23","1","1","4504","1","2381","","878","881","878","","","","","","","","","","","409-05_00007","","5-1_00327","","","6420B_01083","","AMD_00614","","","","DNF01162_00030","","","","","GS_10234_01161","GS_9838-1_00028","GV37_00007","","","","","","","","","","","","","JCP8481A_00048","","","","","","","","N72_00059","","NR010_01210","","","PSS_7772B_00084","UGent_06.41_01032","","UGent_09.48_00026","","","","","","","","","UMB0264_00030","","","UMB0662_00857","UMB0682_00695","","UMB0742_01129","","UMB0769_00027","","","","","UMB0913_00026","UMB1489_00026","UMB1642_00736","","UMB1698_00985",""
"ecfA1_1","","Energy-coupling factor transporter ATP-binding protein EcfA1","23","23","1","1","3762","1","2309","","854","854","854","","","","0288E_00930","","","","284V_00863","","3549624_00109","409-05_01022","","","","","","","","ATCC_14019_00899","","","DNF01162_00472","FDAARGOS_568_01083","","","","GS_10234_00192","","GV37_01112","HMP9231_00646","JCP7275_00561","JCP7276_00281","","","","","","","","","","","","","","","","","","","","","NR038_00755","","","","UGent_09.07_00356","","","","UGent_25.49_00620","UMB0032B_00610","","UMB0143_00579","UMB0202_01066","","","","","","","UMB0736_00658","","UMB0768_00551","UMB0769_00969","","","","","","","UMB1642_00506","","UMB1698_00195",""
"group_3157","ecfT_3","Energy-coupling factor transporter transmembrane protein EcfT","23","23","1","1","3761","1","2308","","812","812","812","","","","0288E_00931","","","","284V_00864","","3549624_00108","409-05_01021","","","","","","","","ATCC_14019_00898","","","DNF01162_00473","FDAARGOS_568_01082","","","","GS_10234_00193","","GV37_01111","HMP9231_00647","JCP7275_00562","JCP7276_00282","","","","","","","","","","","","","","","","","","","","","NR038_00754","","","","UGent_09.07_00357","","","","UGent_25.49_00621","UMB0032B_00609","","UMB0143_00578","UMB0202_01065","","","","","","","UMB0736_00657","","UMB0768_00550","UMB0769_00968","","","","","","","UMB1642_00505","","UMB1698_00196",""
"group_3158","","hypothetical protein","23","23","1","1","3760","1","2307","","611","611","611","","","","0288E_00932","","","","284V_00865","","3549624_00107","409-05_01020","","","","","","","","ATCC_14019_00897","","","DNF01162_00474","FDAARGOS_568_01081","","","","GS_10234_00194","","GV37_01110","HMP9231_00648","JCP7275_00563","JCP7276_00283","","","","","","","","","","","","","","","","","","","","","NR038_00753","","","","UGent_09.07_00358","","","","UGent_25.49_00622","UMB0032B_00608","","UMB0143_00577","UMB0202_01064","","","","","","","UMB0736_00656","","UMB0768_00549","UMB0769_00967","","","","","","","UMB1642_00504","","UMB1698_00197",""
"trpB","","Tryptophan synthase beta chain","23","23","1","1","3365","1","2356","","1193","1193","1193","","","","","","","1500E_00157","","","","409-05_01318","","5-1_00320","","","6420B_01090","","AMD_00621","","","","DNF01162_00023","","","","","GS_10234_01168","GS_9838-1_00021","GV37_01461","","","","","","","","","","","","","JCP8481A_00054","","","","","","","","N72_00066","","","","","PSS_7772B_00078","UGent_06.41_01024","","UGent_09.48_00019","","","","","","","","","UMB0264_00023","","","UMB0662_00850","UMB0682_00688","","UMB0742_01136","","UMB0769_00020","","","","","UMB0913_00019","UMB1489_00019","UMB1642_00729","","UMB1698_00991",""
"group_453","","hypothetical protein","23","23","1","1","920","1","2474","","137","1763","1294","","","","","","","","","315-A_00114","3549624_00887","","","","","","","75712_00383","","ATCC_14019_01233","CMW7778B_01185","","","FDAARGOS_568_00050","","","GH015_00670","","","","HMP9231_00259","","","JCP7659_00186","JCP7672_00266","","","","","","","","","","KA00225_00842","KA00735_00170","","","","","","","","","NR039_00245","","","UGent_09.07_01264","","","","UGent_25.49_00302","UMB0032B_01009","UMB0061_00642","","","UMB0233_00199","","UMB0386_00935","","","","UMB0736_00989","","UMB0768_00865","","UMB0770_00288","UMB0775_00300","","","","","","","",""
"group_559","","Fimbrial subunit type 1","23","23","1","1","2551","1","409","","659","1736","1616","00703Bmash_01066","","","","","","","284V_00797","315-A_01080","3549624_00367","","","","","","","","","ATCC_14019_01095","","DNF01149_01264","","","GED7275B_00471","","","","","","HMP9231_00409","","JCP7276_00497","","JCP7672_00619","","","","","","","","","","","","N101_00404","N144_00308","","","","","","","NR039_00479","","","UGent_09.07_00179","","","UGent_21.28_00415","UGent_25.49_00434","UMB0032B_00864","UMB0061_00510","","","UMB0233_00062","","UMB0386_00781","","","","UMB0736_00838","","UMB0768_00732","","UMB0770_00433","","","","","","","","",""
"group_892","","hypothetical protein","23","23","1","1","3653","142","4","","344","980","929","00703Bmash_00557","00703C2mash_00810","00703Dmash_00991","","","","1500E_00311","","","3549624_00444","","","","","","","","","","","","","","GED7275B_01018","GED7760B_00323","","","","","","","","JCP7659_00039","","JCP7719_00158","JCP8017A_01287","JCP8066_00229","JCP8070_00131","","JCP8151A_00596","JCP8151B_00199","","JCP8522_00786","","","N101_01113","","","","","N95_00509","","","","","","","","UGent_18.01_00647","UGent_21.28_00628","","","","","","","","","UMB0558_00663","","","","","","","","","UMB0830_00662","UMB0833_00179","","","","","","W11_00982"
"group_899","","hypothetical protein","23","23","1","1","80","1","2386","","1178","2705","1250","","","","","","1400E_00439","","","","","","41V_00881","","55152_00053","","6420B_01086","","AMD_00617","","","","","","GED7275B_00589","","","","","GV37_00004","","","","","JCP7672_00436","","","","","JCP8108_00907","","","JCP8481A_00050","","","","","","N160_01030","N165_01032","","","","NR038_01441","","","","","UGent_09.48_00023","","","","","","","","UMB0233_00459","","","","UMB0662_00854","UMB0682_00692","UMB0736_01259","UMB0742_01132","","","UMB0770_00032","","","","UMB0913_00023","UMB1489_00023","","","UMB1698_00987",""
"group_945","","hypothetical protein","23","23","1","1","3267","1","3421","","185","485","471","00703Bmash_01137","","","","","","","284V_00755","","","","","5-1_00298","","","6420B_00257","75712_00589","AMD_00697","","CMW7778B_00388","","","","GED7275B_00089","","GH015_00027","GS_10234_00680","","","","","","","","","","","","","","","","","KA00225_00316","","N101_00484","","","","","","","NR038_00912","","","","","","","","","UMB0032B_00765","","","UMB0202_00005","","","","","","UMB0682_00664","UMB0736_00800","UMB0742_00674","UMB0768_00692","","UMB0770_00473","","","UMB0833_00355","UMB0913_00492","","","","UMB1698_00500",""
"group_1072","","hypothetical protein","22","22","1","1","4416","1","2976","","914","986","959","","","00703Dmash_00174","","101_00873","","","","","","409-05_00068","","5-1_00391","","","6420B_00809","","AMD_01175","","","","DNF01162_00089","","","","","GS_10234_01102","GS_9838-1_00088","","","","","","","","","","","","","","","","","","","","","","N72_01345","","","","","PSS_7772B_00154","UGent_06.41_01092","","UGent_09.48_00085","","","","","","","","","UMB0264_00090","","","UMB0662_00917","UMB0682_00755","","UMB0742_01070","","UMB0769_00087","","","","","UMB0913_00085","UMB1489_00086","UMB1642_00796","","UMB1698_00926",""
"group_1096","","hypothetical protein","22","22","1","1","2236","1","296","","296","296","296","00703Bmash_01143","","","","","1400E_00008","","","315-A_01026","","409-05_00497","41V_00301","5-1_00215","","6119V5_00473","","","","","","DNF01149_00418","","FDAARGOS_568_01214","","","","","","GV37_00594","","JCP7275_00536","","","","","","JCP8066_00916","","","","JCP8151B_01101","JCP8481A_00681","","","","N101_00492","N144_00384","N160_00117","","","","","","","","","","","UGent_18.01_00505","","","","UMB0061_01384","","","UMB0233_00006","","","","","","","","","","","","UMB0830_00508","UMB0833_00347","","","","","",""
"group_1148","","hypothetical protein","22","22","1","1","4616","1","855","","1337","1430","1375","00703Bmash_00741","","00703Dmash_00457","","101_01047","","1500E_01096","","","","409-05_01273","","","","6119V5_00887","6420B_00015","","AMD_01241","","CMW7778B_00017","","","","GED7275B_00526","","","","","","","","","","","","JCP8017A_00549","","JCP8070_00795","","JCP8151A_00779","","","JCP8522_00426","KA00225_00377","","N101_01199","N144_01139","N160_00989","","","N95_01145","","","","","","","","","","","","","","","","","","","","","","","","UMB0769_01188","","","","UMB0833_01270","","","","","","W11_01184"
"group_1312","","hypothetical protein","22","22","1","1","1691","1","1663","","1403","1457","1425","","","","","","","","","","","409-05_00552","","5-1_00273","","","6420B_01127","","AMD_00293","","","","DNF01162_01012","","","","","GS_10234_00597","GS_9838-1_00922","GV37_00654","","","JCP7276_01303","","","","JCP8017A_00009","","","","","","","","","","","","","","N72_00838","","","","","","UGent_06.41_00374","","UGent_09.48_00535","","","","","","","","","UMB0264_00543","","","UMB0662_00058","UMB0682_00592","","UMB0742_00618","","UMB0769_00575","","","","","UMB0913_00548","UMB1489_00538","UMB1642_00061","","UMB1698_01037",""
"group_1487","","hypothetical protein","22","22","1","1","2102","1","2108","","116","320","236","","","00703Dmash_00710","","101_00443","","","","","","","41V_01015","","55152_00412","","","","AMD_00691","","","","","","GED7275B_00053","","","","","GV37_00564","","","","JCP7659_01181","","JCP7719_01027","JCP8017A_00827","JCP8066_00915","","JCP8108_00632","JCP8151A_01175","","","","","","","","","N165_00118","","N95_01005","","","NR039_00348","","","","","","","","","","","UMB0202_00930","","","","UMB0558_00506","","UMB0682_00654","","UMB0742_00667","","","","","","","UMB0913_00498","","","","UMB1698_00431",""
"group_170","","hypothetical protein","22","24","1.1","1","3279","1","3466","","173","593","482","","","","","","1400E_00278","1500E_00756","","","","","","","","","","","","","CMW7778B_01133","","","","","GED7760B_00135","","GS_10234_00684	GS_10234_00685","","","","JCP7275_00490","","","","JCP7719_00827","","JCP8066_00572","","","","JCP8151B_00441","","JCP8522_00568","","KA00735_00752","","N144_00377","","","N72_00656","","NR010_01113","","NR039_00362","","","","","UGent_18.01_00488","","","","UMB0061_01310","","","","UMB0264_00694","","","","","","","","UMB0769_00718	UMB0769_00721","","","","UMB0833_00372","UMB0913_00493","","UMB1642_00254","","",""
"group_1713","","hypothetical protein","22","22","1","1","717","1","2514","","542","1148","1061","00703Bmash_01251","","","0288E_00338","","","1500E_00771","284V_01246","","3549624_00856","409-05_01174","","","","","","","","","","","","","","","","","","GV37_01318","HMP9231_00294","","","","","JCP7719_01042","JCP8017A_00400","","","","","","","","","","","","","","","","","NR038_00515","NR039_00509","","","UGent_09.07_01299","","","","","UMB0032B_00979","","UMB0143_01133","","","","UMB0386_00897","UMB0558_00369","","","UMB0736_00953","","","UMB0769_01125","UMB0770_00318","","UMB0830_00372","UMB0833_01147","","","","","",""
"group_1864","","hypothetical protein","22","22","1","1","297","1","2586","","1265","1283","1280","","","","0288E_00127","","","","","","","","41V_00420","","55152_01021","","6420B_00527","","","","","","","","","","","","","","HMP9231_00137","JCP7275_00937","JCP7276_00756","","JCP7672_00910","","","JCP8066_00353","","","JCP8151A_01159","JCP8151B_00690","JCP8481A_01209","JCP8522_00248","KA00225_00529","","","","","N165_00890","","","NR010_00664","NR038_01274","","PSS_7772B_00754","","","","UGent_18.01_00170","UGent_21.28_00168","","","","","","","","","","","","UMB0736_01108","","UMB0768_00985","","","","","","","","","","",""
"group_1873","","hypothetical protein","22","22","1","1","2394","1","966","","1310","1529","1345","","","","","","","","284V_00794","","3549624_00363","","","","","","","75712_00524","","","","","","FDAARGOS_568_01286","GED7275B_00476","GED7760B_00602","","","","","","","JCP7276_00971","","JCP7672_00038","","","JCP8066_00696","","","","JCP8151B_00060","","JCP8522_00206","","","N101_00410","","","","","","","NR038_00968","","","","","","UGent_18.01_00422","UGent_21.28_00420","","","","UMB0143_00757","","UMB0233_00059","","UMB0386_00778","","","","UMB0736_00835","","","","UMB0770_00436","UMB0775_01190","","UMB0833_01292","","","","","",""
"group_2060","","hypothetical protein","22","22","1","1","2156","1","3396","","611","611","611","","","","","","","","","","","","41V_01235","","55152_00201","6119V5_00459","","","AMD_00705","ATCC_14019_00778","","","","FDAARGOS_568_00956","","","GH015_00288","","","","HMP9231_00766","","JCP7276_00529","","JCP7672_00108","","","JCP8066_00905","","","","","","","","","","","","","","","NR010_01095","","","","","UGent_09.07_00492","UGent_09.48_00480","","UGent_21.28_00484","UGent_25.49_00756","","","","","UMB0233_00951","","","","","","","UMB0742_00682","UMB0768_00402","","UMB0770_00912","UMB0775_00859","","","","","","","","W11_01143"
"group_2199","","hypothetical protein","22","22","1","1","3602","1","3032","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","818","827","818","","","00703Dmash_00730","0288E_01049","","","1500E_00757","284V_00063","","","","","","","","","75712_00846","","","","","","FDAARGOS_568_00964","","GED7760B_00169","","","","","","JCP7275_00318","","","","","JCP8017A_00287","JCP8066_00432","","","JCP8151A_00079","JCP8151B_00219","","JCP8522_00806","","","","","","N165_00374","","","","","NR039_00358","","","","","UGent_18.01_00667","UGent_21.28_00648","","UMB0032B_00470","UMB0061_01313","","","","UMB0264_00706","UMB0386_00472","","","","UMB0736_00537","","","","","","","","","","","","",""
"group_2239","","hypothetical protein","22","22","1","1","500","1","1277","","266","278","276","","","","","","","","","","","409-05_01092","","5-1_01155","","","6420B_00965","","AMD_00071","","","","DNF01162_00400","","","","","GS_10234_00121","GS_9838-1_00755","GV37_01235","","","","","","","","","","","","","JCP8481A_00846","","","","","","","","N72_00288","","","","","PSS_7772B_00007","UGent_06.41_00817","","UGent_09.48_00966","","","","","","","","","UMB0264_01024","","","UMB0662_00502","UMB0682_00112","","UMB0742_00183","","UMB0769_01040","","","","","UMB0913_00995","UMB1489_00979","UMB1642_00579","","UMB1698_00123",""
"group_2459","","hypothetical protein","22","22","1","1","3591","1","3062","","725","1187","1162","00703Bmash_01127","00703C2mash_00294","","","","","","284V_00078","","","","","5-1_00836","","","","75712_00861","","ATCC_14019_00770","","","","FDAARGOS_568_00948","","","GH015_00295","","","","","","","","","JCP7719_00967","","","","","JCP8151A_00656","","","","","","N101_00472","","","","","N95_00996","","NR038_00931","","","","UGent_09.07_00501","","","","","","","","","UMB0233_00942","UMB0264_00698","","UMB0558_00494","","","","","","","UMB0770_00903","UMB0775_00850","UMB0830_00497","UMB0833_00368","","","","","","W11_01154"
"group_2550","","hypothetical protein","22","22","1","1","362","1","336","","665","668","667","","","","","","","","","","","409-05_00657","","5-1_00090","","","6420B_00664","","AMD_00192","","","","DNF01162_01120","","","","","GS_10234_00485","GS_9838-1_01031","GV37_00755","","","","","","","","","","","","","JCP8481A_00459","","","","","","","","N72_00728","","","","","PSS_7772B_01024","UGent_06.41_00482","","UGent_09.48_00637","","","","","","","","","UMB0264_00653","","","UMB0662_00159","UMB0682_00489","","UMB0742_00516","","UMB0769_00677","","","","","UMB0913_00664","UMB1489_00644","UMB1642_00174","","UMB1698_01145",""
"group_260","","hypothetical protein","22","22","1","1","2211","1","2881","","1253","1325","1283","","","","0288E_00791","","","","284V_00751","315-A_01031","3549624_00254","","","","","","","75712_00593","","","","DNF01149_00413","","FDAARGOS_568_01219","","","GH015_00031","","","","HMP9231_00506","","JCP7276_00568","","","","","","","","","","","","","","","","","","","","","","NR039_00341","","","","","","","UGent_25.49_00484","UMB0032B_00761","UMB0061_01379","UMB0143_00713","UMB0202_00001","UMB0233_00011","","UMB0386_00735","","","UMB0682_00661","UMB0736_00796","","UMB0768_00688","","UMB0770_00477","","","","","","","","",""
"group_2663","","hypothetical protein","22","22","1","1","2085","1","2804","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","272","686","650","","","","0288E_00813","","","","284V_00733","315-A_00324","3549624_00236","","","","","","","75712_00611","","","","DNF01149_00432","","FDAARGOS_568_01201","","","","","","","HMP9231_00525","JCP7275_00175","JCP7276_01221","","","","","","","JCP8108_00752","","","","","","","","","","","","","","","NR039_00600","","","UGent_09.07_00233","","","","UGent_25.49_00504","UMB0032B_00742","UMB0061_01184","","UMB0202_01188","UMB0233_01211","","UMB0386_00717","","","","UMB0736_00778","","","","UMB0770_00944","UMB0775_01251","","","","","","","",""
"group_2719","","hypothetical protein","22","22","1","1","969","18","11","","1148","1259","1173","","","","","","","","","","","409-05_00229","","5-1_00554","","","6420B_00447","","AMD_01010","","","","DNF01162_00262","","","","","GS_10234_00938","GS_9838-1_00264","GV37_00258","","","","","","","","","","","","","JCP8481A_01050","","","","","","","","N72_01175","","","","","PSS_7772B_00338","UGent_06.41_00008","","UGent_09.48_00240","","","","","","","","","UMB0264_00244","","","UMB0662_00750","UMB0682_00911","","UMB0742_00918","","UMB0769_00250","","","","","UMB0913_00239","UMB1489_00242","UMB1642_00968","","UMB1698_00760",""
"group_2806","","hypothetical protein","22","22","1","1","4384","1","826","","860","1022","1014","00703Bmash_00617","00703C2mash_00096","","0288E_00207","","","","284V_01037","","3549624_01070","","","","","","","","","","","DNF01149_00822","","","","","GH015_00850","","","","","","JCP7276_00399","JCP7659_00153","JCP7672_00928","","JCP8017A_00219","","","","","","","","","","","","","","","","","","","","","UGent_09.07_00982","","","","UGent_25.49_00117","","UMB0061_00819","UMB0143_00918","UMB0202_00345","UMB0233_00376","","UMB0386_01117","","","","UMB0736_01177","","UMB0768_01054","","","UMB0775_00115","","UMB0833_00549","","","","","",""
"group_2833","","hypothetical protein","22","22","1","1","3586","1","3064","","500","620","563","00703Bmash_01129","00703C2mash_00292","","","","","","284V_00076","","","","","5-1_00838","","","","75712_00859","","ATCC_14019_00772","","","","FDAARGOS_568_00950","","","GH015_00293","","","","","","","","","JCP7719_00969","","","","","JCP8151A_00654","","","","","","N101_00474","","","","","N95_00998","","NR038_00929","","","","UGent_09.07_00499","","","","","","","","","UMB0233_00944","UMB0264_00701","","UMB0558_00496","","","","","","","UMB0770_00905","UMB0775_00852","UMB0830_00499","UMB0833_00366","","","","","","W11_01152"
"group_2881","","hypothetical protein","22","22","1","1","2084","1","2803","","128","698","672","","","","0288E_00812","","","","284V_00734","315-A_00323","3549624_00237","","","","","","","75712_00610","","","","DNF01149_00431","","FDAARGOS_568_01202","","","","","","","HMP9231_00524","JCP7275_00176","JCP7276_01220","","","","","","","JCP8108_00751","","","","","","","","","","","","","","","NR039_00599","","","UGent_09.07_00232","","","","UGent_25.49_00503","UMB0032B_00743","UMB0061_01185","","UMB0202_01189","UMB0233_01212","","UMB0386_00718","","","","UMB0736_00779","","","","UMB0770_00943","UMB0775_01250","","","","","","","",""
"group_2882","ecfA1_1","Energy-coupling factor transporter ATP-binding protein EcfA1","22","22","1","1","2087","1","2806","","506","839","823","","","","0288E_00815","","","","284V_00731","315-A_00326","3549624_00234","","","","","","","75712_00613","","","","DNF01149_00434","","FDAARGOS_568_01199","","","","","","","HMP9231_00527","JCP7275_00173","JCP7276_01223","","","","","","","JCP8108_00754","","","","","","","","","","","","","","","NR039_00602","","","UGent_09.07_00235","","","","UGent_25.49_00506","UMB0032B_00740","UMB0061_01182","","UMB0202_01186","UMB0233_01209","","UMB0386_00715","","","","UMB0736_00776","","","","UMB0770_00946","UMB0775_01253","","","","","","","",""
"ybbW","","Putative allantoin permease","22","22","1","1","3106","1","163","","1484","1505","1484","","","","","","","","","","","409-05_00747","","5-1_00873","","","6420B_00718","","AMD_00410","","","","DNF01162_00679","","","","","GS_10234_00405","GS_9838-1_00474","GV37_00899","","","","","","","","","","","","","","","KA00225_00239","","","","","","N72_00612","","NR010_00209","","","","UGent_06.41_00539","","UGent_09.48_00690","","","","","","","","","UMB0264_00750","","","UMB0662_00223","UMB0682_00432","","UMB0742_00460","","UMB0769_00754","","","","","UMB0913_00721","UMB1489_00704","UMB1642_00299","","UMB1698_00417",""
"group_3104","","hypothetical protein","22","22","1","1","3587","1","3063","","521","521","521","00703Bmash_01128","00703C2mash_00293","","","","","","284V_00077","","","","","5-1_00837","","","","75712_00860","","ATCC_14019_00771","","","","FDAARGOS_568_00949","","","GH015_00294","","","","","","","","","JCP7719_00968","","","","","JCP8151A_00655","","","","","","N101_00473","","","","","N95_00997","","NR038_00930","","","","UGent_09.07_00500","","","","","","","","","UMB0233_00943","UMB0264_00700","","UMB0558_00495","","","","","","","UMB0770_00904","UMB0775_00851","UMB0830_00498","UMB0833_00367","","","","","","W11_01153"
"group_3154","ecfT_1","Energy-coupling factor transporter transmembrane protein EcfT","22","22","1","1","2086","1","2805","","737","776","738","","","","0288E_00814","","","","284V_00732","315-A_00325","3549624_00235","","","","","","","75712_00612","","","","DNF01149_00433","","FDAARGOS_568_01200","","","","","","","HMP9231_00526","JCP7275_00174","JCP7276_01222","","","","","","","JCP8108_00753","","","","","","","","","","","","","","","NR039_00601","","","UGent_09.07_00234","","","","UGent_25.49_00505","UMB0032B_00741","UMB0061_01183","","UMB0202_01187","UMB0233_01210","","UMB0386_00716","","","","UMB0736_00777","","","","UMB0770_00945","UMB0775_01252","","","","","","","",""
"group_3155","ecfA2_2","Energy-coupling factor transporter ATP-binding protein EcfA2","22","22","1","1","2088","1","2807","","794","794","794","","","","0288E_00816","","","","284V_00730","315-A_00327","3549624_00233","","","","","","","75712_00614","","","","DNF01149_00435","","FDAARGOS_568_01198","","","","","","","HMP9231_00528","JCP7275_00172","JCP7276_01224","","","","","","","JCP8108_00755","","","","","","","","","","","","","","","NR039_00603","","","UGent_09.07_00236","","","","UGent_25.49_00507","UMB0032B_00739","UMB0061_01181","","UMB0202_01185","UMB0233_01208","","UMB0386_00714","","","","UMB0736_00775","","","","UMB0770_00947","UMB0775_01254","","","","","","","",""
